newspaper,day,month,year,page,article,article title,ocr title,match (title/article text/manual)
The Aberdeen Journal,12,02,1851,,,Views of American Slavery,,
The Aberdeen Journal,12,02,1851,0004,014,Fugitive Slaves,Local Intelligence.,manual
The Aberdeen Journal,19,02,1851,0005,014,American Slavery,AMERICAN SLAVERY.—FUGITIVE SLAVE BILL.,title
The Aberdeen Journal,30,01,1861,0003,004,The Fugitive Slave John Anderson,DOMESTIC INTELLIGENCE.,manual
The Aberdeen Journal,08,07,1846,0003,013,American Slavery,Local Intelligence.,manual
The Aberdeen Journal,14,04,1847,0006,023,"Frederick Douglass, the Emancipated Slave",DOMESTIC INTELLIGENCE.,manual
The Aberdeen Journal,07,10,1846,0004,023,American Slavery,SCOTLAND.,manual
The Aberdeen Journal,23,12,1857,0006,019,Ladies Anti-Slavery Association,LADIES' ANTI-SLAVERY ASSOCIATION.,title
The Aberdeen Journal,30,11,1859,0003,004,Mr Frederick Douglass,DOMESTIC INTELLIGENCE.,manual
The Aberdeen Journal,29,04,1846,0004,019,Slavery and the Free Church,SCOTLAND.,manual
The Aberdeen Journal,06,05,1846,0004,016,American Slavery,SCOTLAND.,manual
The Aberdeen Journal,13,05,1846,,,American Slavery,,
The Aberdeen Journal,08,02,1860,,,Frederick Douglass ,,
The Aberdeen Journal,05,02,1851,0005,016,Fugitive Slaves,LUNATIC ASYLUM.,manual
The Aberdeen Journal,19,02,1851,0005,014,American Slavery - Fugitive Slave Bill,AMERICAN SLAVERY.—FUGITIVE SLAVE BILL.,title
The Aberdeen Weekly Journal,07,06,1894,,,Lyching Outrages in the United States,,
The Birmingham Daily Post,28,11,1859,0003,013,Frederick Douglass,Miscellaneous.,manual
The Birmingham Daily Post,05,04,1866,0007,028,The American Freedmen,CORRESPONDENCE.,manual
The Birmingham Daily Post,06,03,1877,,,Uncle Tom at Windsor Castle,,
The Birmingham Daily Post,14,06,1865,0004,011,Birmingham and Midland Freedmen's Aid Association,BIRMINGHAM AND MIDLAND FREEDMEN'S AID ASSOCIATION.,title
The Birmingham Daily Post,05,07,1893,,,Negroes in the Southern States,,
The Derby Mercury,23,05,1849,,,Burton-On-Trent,,
The Derby Mercury,30,05,1883,,,Uncle Tom  ,,
The Derby Mercury,11,01,1860,0006,028,American Tyranny,AMERICAN TYRANNY.,title
The Derby Mercury,24,08,1864,,,Mr Frederick Douglass on Federal Slavery,,
The Era,28,06,1857,,,Mr Henry Box Brown,,
The Era,27,09,1857,,,Royal Park Theatre,,
The Era,04,10,1857,0012,024,History of Henry Box Brown,History of Henry Box Brown.,title
The Era,04,10,1857,,,Royal Park Theatre,,
The Era,03,03,1861,0015,039,The Case of the Fugitive Anderson,"The Case of the Fugitive, Anderson.",title
The Examiner,09,11,1850,,,A Fugitive Slave in Liverpool,,
The Examiner,19,08,1876,,,,,
The Examiner,10,04,1847,0012,016,The Land of Liberty,"ACCIDENTS, OFFENCES, AND OCCURRENCES.",manual
The Graphic,26,05,1883,0010,010,The Hero of 'Uncle Tom's Cabin',Scraps,manual
Hampshire Telegraph,10,04,1847,,,Frederick Douglass,,
Hampshire Telegraph,17,04,1847,0007,033,The Cunard Company and Mr Douglass,THE CUNARD COMPANY AND MR. F. DOUGLASS.,title
Hampshire Telegraph and Sussex Chronicle,12,09,1857,,,American Slavery,,
Hampshire Telegraph and Sussex Chronicle,29,06,1895,,,Miss Ida Wells Married,,
Hampshire Telegraph and Sussex Chronicle,23,09,1876,0008,028,Uncle Tom' in Portsmouth,"""UNCLE TOM"" IN PORTSMOUTH.",title
Hampshire Telegraph and Sussex Chronicle,25,04,1877,,,Uncle Tom,,
Hampshire Telegraph and Sussex Chronicle,08,12,1877,,,Madame Tussaud's - Great Attractions,,
Illustrated Police News,16,06,1894,0002,005,The Lynching of Negroes,PICTURES FROM THE VIENNA LAW COURTS.,manual
Jackson's Oxford Journal,02,03,1861,,,Canada - The Fugitive Slave Case,,
Jackson's Oxford Journal,10,03,1877,0003,004,Uncle Tom at Windsor Castle,"""UNCLE TOM"" AT WINDSOR CASTLE.",title
Jackson's Oxford Journal,16,11,1850,0001,002,Extraordinary Escape of a Slave,MISCELLANEOUS.,manual
The Hull Packet and East Riding Times,06,08,1852,0003,004,Libelling a Negro,GENERAL INTELLIGENCE.,manual
The Hull Packet and East Riding Times,18,05,1877,,,Madame Tussaud's Exhibition,,
The Hull Packet and East Riding Times,20,07,1860,0008,026,International Statician's Conference,THE INTERNATIONAL STATISTICAL CONGRESS.,title
The Hull Packet and East Riding Times,16,12,1842,0005,015,American Slavery,MEETING OF THE DOCK COMPANY.,manual
The Hull Packet and East Riding Times,26,04,1861,0006,017,Anti-Slavery Meeting,LOCAL INTELLIGENCE.,article
The Hull Packet and East Riding Times,11,12,1863,0006,022,Correspondence,CORRESPONDENCE.,title
The Hull Packet and East Riding Times,25,12,1863,0005,020,Lecture by the Rev. Sella Martin,"LECTURE BY THE REV SELLA MARTIN, LAST NIGHT.",title
The Hull Packet and East Riding Times,05,12,1862,0007,025,The Slave's Appeal to Great Britain,THE SLAVE'S APPEAL TO GREAT BNRITAIN.,title
The Hull Packet and East Riding Times,06,05,1853,0005,013,The Missionary Anniversaries,LOCAL INTELLIGENCE.,article
The Hull Packet and East Riding Times,06,04,1849,,,Singular Escape of Two Slaves from Georgia,,
The Hull Packet and East Riding Times,22,03,1861,,,Escape from Slavery,,
The Ipswich Journal,09,11,1850,,,A Fugitive Slave From Liverpool,,
The Ipswich Journal,18,01,1862,,,American Slavery,,
The Ipswich Journal,30,10,1852,,,Stowmarket ,,
Northern Echo,07,06,1894,,,Race Feud in America - Miss Ida Well's Mission,,
Northern Echo,22,10,1886,,,Frederick Douglass,,
Northern Star and Leeds General Advertiser,29,02,1840,,,Harrison Road Chapel,,
Northern Star  ,03,04,1847,,,Anti-Slavery Soiree,,
Northern Star,03,04,1847,,,Anti-Slavery Soiree,,
Northern Star,10,04,1847,0008,039,Departure of Frederick Douglass,DEPARTURE OF FREDERICK DOUGLASS.,title
Northern Star,22,08,1846,0019,088,AntiSlavery League Meeting,ANTI-SLAVERY LEAGUE MEETING.,title
Northern Star,07,11,1846,,,AntiSlavery Lectures,,
Northern Star,24,10,1846,,,,,
Northern Star,19,09,1846,0020,084,Antislavery Meeting,ANTI-SLAVERY MEETING.,title
Northern Star,02,11,1850,,,America,,
Northern Star,23,01,1847,,,Wakefield - Antislavery Meeting,,
Northern Star,13,06,1847,,,Free Church Assembly,,
Pall Mall Gazette,06,03,1866,,,Freedman's Bureau,,
Pall Mall Gazette,28,06,1895,,,Marriage of Miss Ida B. Wells,,
North Wales Chronicle,23,11,1841,0003,013,American Slavery,AMERICAN SLAVERY.,title
North Wales Chronicle,10,09,1864,0006,021,The Federal Government and the Negroes,THE FEDERAL GOVERNMENT AND THE NEGROES.,title
Trewman's Exeter Flying Post ,23,01,1861,0004,012,The Extradition Case,THE EXETER FLYING POST.,title
Western Mail,08,01,1870,0007,028,A Negro Romance,A NEGRO ROAMANCE.,title
Western Mail,04,07,1893,0003,004,White Women Insulted by A Black Editor,WHITE WOMEN INSULTED BY A BLACK EDITOR.,title
Western Mail,29,06,1895,,,Miss Ida Wells Married,,
Preston Chronicle and Lancashire Advertiser,10,04,1847,,,Frederick Douglass,,
Preston Chronicle and Lancashire Advertiser,25,07,1846,,,Belfast,,
Preston Chronicle and Lancashire Advertiser,12,04,1851,,,American Freedom and Slavery,,
Preston Chronicle and Lancashire Advertiser,13,06,1846,,,The Free Church of Scotland and Slavery,,
Preston Chronicle and Lancashire Advertiser,15,10,1864,,,A Negro on the War in America,,
Preston Chronicle and Lancashire Advertiser,25,02,1865,,,The Progress of the Antislavery Cause in the North,,
Reynold's Newspaper,13,05,1894,0003,025,Temperance Women,TEMPERANCE WOMEN.,title
Reynold's Newspaper,03,06,1894,0002,014,Lynch Law in America,LYNCH LAW IN AMERICA.,title
Reynold's Newspaper,02,04,1854,0016,043,"A ""Runaway Imposter""","A ""RUNAWAY"" IMPOSTOR.",title
Reynold's Newspaper,20,08,1882,,,Sunday Magazine,,
Reynold's Newspaper,16,02,1851,,,Aberdeen - Fugitive Slaves,,
Reynold's Newspaper,27,05,1894,,,Lynch Law in America,,
Reynold's Newspaper,07,07,1861,0004,013,"Anderson, The Fugitive Slave","ANDERSON, THE FUGITIVE SLAVE.",title
The Newcastle Courant,13,03,1840,,,American Slavery,,
The Newcastle Courant,07,08,1846,,,The Free Church and American Slavery,,
The Newcastle Courant,18,09,1846,,,Antislavery Meeting,,
The Newcastle Courant,30,05,1879,0003,018,Slavery Agitation and Abolition,SLAVERY AGITATION AND ABOLITION.,title
The Newcastle Courant,24,02,1860,,,Mr Frederick Douglass in Newcastle,,
The Newcastle Courant,11,12,1863,0006,033,Progress of Emancipation in America,PROGRESS OF EMANCIPATION IN AMERICA.,title
The Newcastle Courant,26,05,1865,,,Frederick Douglass on the American Crisis,,
The Newcastle Courant,14,12,1849,,,Antislavery Meeting,,
The Newcastle Courant,30,03,1849,,,Escape of Two Slaves From Georgia,,
The Newcastle Courant,15,12,1865,0002,008,Ellen Craft's Mother,ELLEN CRAFT'S MOTHER.,title
The Newcastle Courant,06,08,1852,,,Libel on an Escaped Slave,,
The Newcastle Courant,30,05,1879,0003,018,Slavery and Abolition,SLAVERY AGITATION AND ABOLITION.,title
The Newcastle Courant,10,03,1865,0002,003,Emancipation of the American Slave,EMANCIPATION OF THE AMERICAN SLAVE.—No. III.,title
The Newcastle Courant,18,07,1851,,,Presentation of Freedom to Dr Pennington,,
The Newcastle Courant,11,01,1861,0006,023,Fugitive Slave Case,CANADA.,article
The Newcastle Courant,18,01,1861,0003,008,The Canadian Fugitive Slave Case,THE CANADIAN FUGITIVE SLAVE CASE.,title
The Newcastle Courant,28,06,1861,,,The Fugitive Slave Anderson,,
The Morning Chronicle,03,07,1861,0003,003,"John Anderson, the Fugitive Slave","JOHN ANDERSON, THE FUGITIVE SLAVE.",title
The Morning Chronicle,15,07,1833,0002,002,American Colonization Society,AMERICAN SLAVERY AND COLONIZATION IN AFRICA.,title
The Morning Chronicle,09,01,1860,0006,029,American Persons of Colour,AMERICAN PERSONS OF COLOUR.,title
The Morning Chronicle,21,06,1853,,,Fugitive Slaves in Canada,,
The Morning Chronicle,25,12,1861,0006,027,Slavery and the American War,SLAVERY AND THE AMERICAN WAR.,title
The Morning Chronicle,14,10,1846,0005,015,The Antislavery League and the Evangelical Alliance,THE ANTI-SLAVERY LEAGUE AND THE EVANGELICAL ALLIANCE.,title
The Morning Chronicle,25,12,1858,,,American Slavery,,
The Morning Chronicle,26,12,1846,0007,022,Does Freedom for the Slave Involve Captivity for the Master?,DOES FREEDOM FOR THE SLAVE INVOLVE CAPTIVITY FOR THE MASTER?,title
The Morning Chronicle,17,10,1850,0002,005,A Soiree to Mr G. Thompson,"SOIREE TO MR. G. THOMPSON, M.P.",title
The Morning Chronicle,11,05,1853,,,British and Foreign Antislavery Society,,
The Morning Chronicle,12,11,1850,,,A Fugitive Slave in America,,
The Morning Chronicle,30,07,1852,,,Brown v. Smith,,
The Morning Chronicle,22,07,1851,0012,031,British and Foreign Antislavery Society,BRITISH AND FOREIGN ANTI-SLAVERY SOCIETY.,title
The Morning Chronicle,07,02,1861,,,The Fugitive Slave John Anderson,,
The Morning Chronicle,09,03,1861,0007,028,The Anderson Extradition Case,THE ANDERSON EXTRADITION CASE.,title
The Morning Chronicle,13,05,1861,0007,029,The Case of the Fugitive Slave Anderson,CORRESPONDENCE RESPECTING THE CASE OF THE FUGITIVE SLAVE ANDERSON.,title
Lloyd's Weekly Newspaper,07,07,1861,0005,020,"Poor Anderson, the Fugitive","POOR ANDERSON, THE FUGITIVE.",title
Lloyd's Weekly Newspaper,10,09,1876,,,The Original of Mrs Stowe's Uncle Tom,,
Lloyd's Weekly Newspaper,23,10,1853,,,A Future For The Negro,,
