newspaper,year,month,day,page,article,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__abomentions,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__nonabospeeches,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__misc,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__control,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__abomentions,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__nonabospeeches,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__misc,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__control,"bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__abomentions","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__nonabospeeches","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__misc","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__control","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__abomentions","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__nonabospeeches","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__misc","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__control"
ANJO,1845,01,08,0003,017,17.948663,81.582918,0.164267,0.304152,99.993216,0.006783,0.000000,0.000000,83.725513,16.274487,0.000000,0.000000,99.830171,0.158543,0.011024,0.000261
ANJO,1845,01,22,0003,012,0.009767,41.695157,0.000219,58.294857,89.720560,3.935802,0.000049,6.343589,0.000106,99.961137,0.000000,0.038756,0.000029,0.002784,0.000010,99.997176
ANJO,1845,03,05,0004,021,92.961187,4.377911,0.289907,2.370995,0.023571,78.505455,0.000000,21.470974,0.650374,47.879064,0.000000,51.470562,0.000893,0.003901,0.000000,99.995206
ANJO,1845,03,05,0004,019,97.200685,2.729148,0.067576,0.002591,85.743833,13.239356,0.000194,1.016617,85.222588,14.777412,0.000000,0.000000,91.819022,7.636243,0.097202,0.447534
ANJO,1845,03,12,0003,020,77.293667,12.516107,1.596840,8.593385,0.047599,75.364086,0.000000,24.588315,0.302633,47.638873,0.000000,52.058494,0.003690,0.009626,0.000030,99.986654
ANJO,1845,04,23,0004,010,0.047119,76.664985,0.000753,23.287144,62.941450,32.231710,0.000001,4.826840,0.000014,10.421550,0.000000,89.578436,0.000405,0.011097,0.000002,99.988496
ANJO,1845,04,30,0003,003,86.414126,9.106850,1.070504,3.408521,0.023571,78.505455,0.000000,21.470974,0.019137,15.655284,0.000000,84.325578,0.000007,0.000255,0.000000,99.999737
ANJO,1845,05,14,0003,010,54.243967,24.568009,4.188943,16.999081,0.337071,63.255728,0.000000,36.407201,0.758492,41.754783,0.000000,57.486725,0.001109,0.031424,0.000000,99.967467
ANJO,1845,05,28,0002,004,92.752703,4.627587,2.619587,0.000123,0.023571,78.505455,0.000000,21.470974,1.696320,98.299522,0.000000,0.004158,36.753283,10.930648,0.007379,52.308690
ANJO,1845,12,10,0004,017,0.056906,47.848695,0.003019,52.091379,56.561626,43.354286,0.000000,0.084088,0.656389,95.243196,0.000000,4.100415,0.001479,0.039664,0.000001,99.958857
ANJO,1846,01,07,0003,015,1.413082,95.751710,0.010146,2.825062,58.046148,37.611441,0.000000,4.342411,0.336338,99.627997,0.000000,0.035666,1.768475,0.576377,0.004057,97.651091
ANJO,1846,01,28,0003,007,0.396496,45.547547,0.002733,54.053224,2.211901,97.210385,0.000000,0.577714,95.514487,4.485096,0.000000,0.000417,0.001073,0.028960,0.000000,99.969967
ANJO,1846,02,25,0001,001,0.029000,22.532632,0.007396,77.430972,16.540525,81.048271,0.015841,2.395363,0.000000,0.000000,72.800695,27.199305,0.000413,0.009344,0.000258,99.989985
ANJO,1846,03,11,0003,014,36.416518,62.739366,0.759305,0.084811,24.686180,72.264123,0.000000,3.049697,78.684917,21.184151,0.000000,0.130932,57.988394,15.153955,0.012402,26.845249
ANJO,1846,03,18,0003,009,0.257341,71.559322,0.002330,28.181007,77.229790,22.756818,0.000007,0.013384,4.336831,18.345273,0.000000,77.317896,0.028369,0.063995,0.000204,99.907432
ANJO,1846,03,18,0003,011,0.036367,50.611250,0.002637,49.349746,98.049724,1.867930,0.000022,0.082325,0.018887,99.896106,0.000000,0.085008,0.059248,0.047552,0.000534,99.892665
ANJO,1846,05,06,0004,016,78.906442,7.826270,13.265063,0.002224,92.575470,7.422990,0.000000,0.001539,99.895744,0.104256,0.000000,0.000000,99.522798,0.472227,0.004428,0.000547
ANJO,1846,05,13,0004,015,90.603598,7.713465,1.673817,0.009121,0.357843,99.503917,0.000000,0.138240,3.534024,96.463527,0.000000,0.002450,35.694903,24.113699,0.007451,40.183947
ANJO,1846,05,20,0003,013,44.171619,55.792738,0.026106,0.009537,70.810882,5.302400,0.001654,23.885063,84.012950,15.986890,0.000000,0.000160,59.463562,7.989185,4.007964,28.539289
ANJO,1846,06,03,0003,012,98.121629,0.925336,0.952332,0.000703,29.846279,70.137695,0.000001,0.016025,25.310588,74.689128,0.000000,0.000284,99.043255,0.503988,0.107528,0.345230
ANJO,1846,06,03,0004,017,92.924172,0.000041,7.075787,0.000000,98.850358,1.149635,0.000001,0.000006,99.873679,0.126321,0.000000,0.000000,99.519554,0.392058,0.088381,0.000007
ANJO,1846,07,08,0003,013,56.389420,41.572474,1.949018,0.089088,25.033817,74.609566,0.000000,0.356617,99.760488,0.239471,0.000000,0.000041,98.966642,0.843098,0.005957,0.184303
ANJO,1846,07,29,0003,013,99.963118,0.000674,0.036208,0.000000,0.173854,99.535580,0.000000,0.290566,71.799146,28.200852,0.000000,0.000002,99.345994,0.486745,0.001046,0.166215
ANJO,1846,08,05,0003,014,77.921498,0.001508,22.076964,0.000030,67.895201,20.325183,0.003087,11.776529,99.234900,0.765100,0.000000,0.000000,97.615394,0.118317,2.240551,0.025738
ANJO,1846,08,05,0004,017,97.641602,0.407897,1.889818,0.060683,0.107487,98.881323,0.000000,1.011191,0.024130,99.975868,0.000000,0.000002,2.507603,7.429054,0.000051,90.063292
