newspaper,day,month,year,page,article,article title,ocr title,match (title/article text/manual)
"Lancaster Gazette and General Advertiser for Lancashire, Westmorland, Yorkshire etc.",11,12,1869,,,Lecture on Prison Experience,,
The Aberdeen Journal,22,05,1844,0003,011,Meeting of Prison Board,MEETING OF PRISON BOARD.,title
The Northern Star and National Trades' Journal,12,10,1850,,,Treatment of Political Prisoners,,
Dundee Courier,14,01,1861,,,Prison Board Meeting,,
Dundee Courier and Daily Argus,12,08,1861,,,Prison Board Meeting,,
"Lancaster Gazette and General Advertiser for Lancashire, Westmorland, Yorkshire etc.",18,04,1874,,,Meeting for Release of the Convict Orton,,
Western Mail,2,06,1879,0003,008,Meeting of Colliers at Mountain Ash,MEETING OF COLLIERS AT MOUNTAIN ASH.,title
Birmingham Daily Post,3,01,1884,0005,012,Meeting of the Borough Magistrates,MEETING OF THE BOROUGH MAGISTRATES.,title
Lloyd's Weekly Newspaper,26,02,1888,,,Trafalgar Square Meetings,,
Freeman's Journal and Daily Commercial Advertiser,1,01,1838,,,Meeting in St. Pancras,,
The Manchester Times and Gazette,6,10,1838,,,Popular Instruction and the Suffrage 'Demonstrators',,
The Bradford Observer,18,10,1838,,,Great Radical Meeting on Hartishead Moor,,
The Leeds Mercury,20,10,1838,0006,015,Radical Demonstration' at Peep Green,"""RADICAL DEMONSTRATION"" AT PEEP GREEN.",title
The York Herald and General Advertiser,20,10,1838,,,Great West-Riding Meeting,,
The Champion and Weekly Herald,21,10,1838,,,Great Demonstration in the West Riding of York,,
The Champion and Weekly Herald,11,11,1838,,,Public Meetings,,
The Operative,21,04,1839,0012,022,Public Meetings,PUBLIC MEETINGS.,title
The Northern Star and National Trades' Journal,6,07,1839,,,Skipton: Public Meeting,,
The Bradford Observer,23,01,1840,,,Wilsden Anti-Corn Law Meeting,,
The Northern Star and Leeds General Advertiser,29,02,1840,,,Meetings at Glasgow,,
The Sheffield and Rotherham Indepedent,23,01,1841,,,The Household Suffrage Meeting,,
Freeman's Journal and Daily Commercial Advertiser,25,01,1841,,,The Great Reform Demonstration at Leeds,,
The Morning Post,25,01,1841,,,Reform Demonstrations at Leeds,,
The Northern Star and Leeds General Advertiser,23,10,1841,,,The Leeds Household Suffrage Meeting,,
The Manchester Times and Gazette,19,02,1842,,,Complete Suffrage Meeting,,
The Manchester Times and Gazette,16,04,1842,,,Great Suffrage Meeting at Birmingham,,
The Examiner,31,12,1842,0008,010,Complete Suffrage Conference,COMPLETE SUFFRAGE CONFERENCE.,title
Freeman's Journal and Daily Commercial Advertiser,31,12,1842,,,The National Complete Suffrage Conference,,
The Northern Star and Leeds General Advertiser,31,12,1842,,,Great Conference at Birmingham,,
The Northern Star and Leeds General Advertiser,7,01,1843,,,Birmingham Conference,,
"The Bradford Oberver and Halifax, Huddersfield and Keighley Reporter",20,04,1843,,,Complete Suffrage Meetings,,
The Newcastle Courant,28,04,1843,0003,007,Public Meeting - Complete Suffrage,PUBLIC MEETING—COMPLETE SUFFRAGE.,title
The Morning Chronicle,28,06,1843,0006,019,Universal Suffrage Meeting,UNIVERSAL SUFFRAGE MEETING.,title
Lloyd's Weekly London Newspaper,2,07,1843,,,Universal Suffrage Meeting,,
The Essex Standard and General Advertiser for the Eastern Counties,6,10,1843,,,Complete Suffrage,,
The Bristol Mercury,23,12,1843,0008,037,Complete Suffrage Meeting,COMPLETE SUFFRAGE MEETING.,title
The Bristol Mercury,13,01,1844,0007,028,Complete Suffrage Meeting,COMPLETE SUFFRAGE MEETING.,title
The Bristol Mercury,3,02,1844,0007,025,Complete Suffrage Meeting,COMPLETE SUFFRAGE MEETING.,title
The Newcastle Courant,23,02,1844,0006,018,Complete Suffrage Meeting,COMPLETE SUFFRAGE MEETING.,title
Glasgow Herald,9,12,1844,0004,032,Temperance Conversational Meeting,TEMPERANCE CONVERSATIONAL MEETING.,title
The Leeds Mercury,20,02,1847,,,Complete Suffrage Meeting at Leeds,,
The Standard,2,05,1848,,,Universal Suffrage Meeting in Birmingham,,
The Northern Star and National Trades' Journal,19,04,1851,,,National Reform Association,,
The Morning Post,9,12,1858,,,Manchester Manhood Suffrage Association,,
